cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
1240581,CLIFTON SAVINGS BANCORP INC,411229,,,,,6035,"Savings Institution, Federally Chartered"
1240722,SOLOMON TECHNOLOGIES INC,410738,,,,,3621,Motors and Generators
1241199,CAPITALSOURCE INC,411092,,,,,6022,State Commercial Banks
1242047,M WISE INC,411507,OTC Markets,OTC Pink No Information,OTC,MWIS,4812,Radiotelephone Communications
1242513,COMPUTER GRAPHICS INTERNATIONAL INC.,412283,,,,,7812,Services-Motion Picture and Video Tape Production
1243429,ARCELORMITTAL,411933,NYSE,NYSE,NYSE,MT,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
1243445,VEGAS EQUITY INTERNATIONAL CORP,412387,,,,,6770,Blank Checks
1243496,FLATBUSH FEDERAL BANCORP INC,413347,,,,,6021,National Commercial Banks
1243741,PROSPERO GROUP,412289,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
1243800,RAINIER PACIFIC FINANCIAL GROUP INC,412463,OTC,Grey Market,OTC,RPFG,6022,State Commercial Banks
1244041,CHAAS ACQUISITIONS LLC,412468,,,,,3714,Motor Vehicle Parts and Accessories
1244937,ENERNOC INC,412490,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ENOC,7370,"Services-Computer Programming, Data Processing, Etc."
1245104,GLOBEIMMUNE INC,412454,NASDAQ,NASDAQ Capital Market,OTC,GBIM,2834,Pharmaceutical Preparations
1245791,"GI DYNAMICS, INC.",412723,OTC Markets,OTC Pink Current,OTC,GIDYL,3841,Surgical and Medical Instruments and Apparatus
1245841,"WILD CRAZE, INC.",412650,OTC Markets,OTC Pink No Information,OTC,WILD,7331,Services-Direct Mail Advertising Services
1246263,MAGELLAN MIDSTREAM HOLDINGS LP,413296,,,,,4610,Pipe Lines (No Natural Gas)
1248124,CHEVIOT FINANCIAL CORP,413784,,,,,6021,National Commercial Banks
1248305,JAFRA WORLDWIDE HOLDINGS LUX SARL,413803,,,,,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
1249869,STRATEGY INTERNATIONAL INSURANCE GROUP INC,413665,OTC Markets,OTC Pink No Information,OTC,SGYI,6331,"Fire, Marine and Casualty Insurance"
1250189,INTERLINE BRANDS INC,415882,,,,,5070,Wholesale-Hardware and Plumbing and Heating Equipment and Suppli
1250485,DEMATCO INC,416019,,,,,7812,Services-Motion Picture and Video Tape Production
1250873,CORPORATE PROPERTY ASSOCIATES 16 GLOBAL INC,416032,,,,,6519,"Lessors of Real Property, Not Elsewhere Classified"
1250897,ESSENTIAL INNOVATIONS TECHNOLOGY CORP,416059,OTC Markets,Caveat Emptor,OTC,ESIV,3590,Miscellaneous Industrial and Commercial Machinery and Equipment
1251769,"APOLLO ENDOSURGERY, INC.",417990,NASDAQ,NASDAQ Capital Market,Nasdaq Global Market,APEN,3841,Surgical and Medical Instruments and Apparatus
1252095,AMERIGO RESOURCES LTD,416110,OTC Markets,OTCQX International,OTC,ARREF,,
1252278,ANMORE INC,416936,,,,,9995,Non-Operating Establishments
1252509,GRANITE REAL ESTATE INC.,416308,,,,,6500,Real estate
1252849,"COLUMBIA PROPERTY TRUST, INC.",417902,NYSE,NYSE,NYSE,CXP,6798,Real Estate Investment Trusts
1252956,POLAR MOLECULAR HOLDING CORP,417555,,,,,2890,Miscellaneous Chemical Products
1253317,OLD LINE BANCSHARES INC,418147,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,OLBK,6022,State Commercial Banks
1253557,PREMIER BEVERAGE GROUP CORP,590410,,,,,2080,Beverages
1253689,GLYCOMIMETICS INC,417281,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,GLYC,2834,Pharmaceutical Preparations
1253710,"CANO PETROLEUM, INC",593699,,,,,1311,Crude Petroleum and Natural Gas
1253808,CBD MEDIA LLC,424237,,,,,2741,Miscellaneous Publishing
1253955,COMPELLENT TECHNOLOGIES INC,417388,,,,,7372,Services-Prepackaged Software
1253965,DIGITAL UTILITIES VENTURES INC,417568,OTC Markets,OTC Pink No Information,OTC,DUTV,1382,Oil and Gas Field Exploration Services
1253986,ARBOR REALTY TRUST INC,417497,NYSE,NYSE,NYSE,ABR,6798,Real Estate Investment Trusts
1254371,"DEBUT BROADCASTING CORPORATION, INC.",420005,,,,,4832,Radio Broadcasting Stations
1254419,MEDASSETS INC,417835,,,,,7372,Services-Prepackaged Software
1254595,FIRST POTOMAC REALTY TRUST,418780,NYSE,NYSE,NYSE,FPO,6798,Real Estate Investment Trusts
1255137,J CREW INTERMEDIATE LLC,419007,,,,,5600,Retail-Apparel and Accessory Stores
1255379,RAINMAKER WORLDWIDE INC,422978,OTC Markets,OTC Pink Current,OTC,RAKR,,
1255474,WHITING PETROLEUM CORP,420440,NYSE,NYSE,NYSE,WLL,1311,Crude Petroleum and Natural Gas
1255691,INTELIUS INC,419148,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
1255895,ARCH WESTERN RESOURCES LLC,422402,,,,,1221,Bituminous Coal and Lignite Surface Mining
1256069,SIGNATURE OFFICE REIT INC,422858,OTC,Grey Market,OTC,SIZF,6798,Real Estate Investment Trusts
1256536,AMERICAN HOME MORTGAGE INVESTMENT CORP,422109,,,,,6798,Real Estate Investment Trusts
1256540,EAST COAST DIVERSIFIED CORP,423524,OTC Markets,OTC Pink Limited,OTC,ECDC,3663,Radio and Television Broadcasting and Communications Equipment
1257296,HLI OPERATING CO INC,422014,,,,,3714,Motor Vehicle Parts and Accessories
1257499,AMERICAN SURGICAL HOLDINGS INC,422387,,,,,8000,Services-Health Services
1257514,"FLORIDA MICRO, INC.",673860,,,,,2835,In Vitro and In Vivo Diagnostic Substances
1257580,CALWEST BANCORP,423278,OTC Markets,OTC Pink Current,OTC,CALW,6021,National Commercial Banks
1257640,KRONOS WORLDWIDE INC,424354,NYSE,NYSE,NYSE,KRO,2810,Industrial Inorganic Chemicals
1257803,TELVENT GIT S A,423888,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
1258021,STEEN RIVER OIL & GAS INC.,611591,,,,,1311,Crude Petroleum and Natural Gas
1258383,"IPEX, INC",604566,,,,,4899,"Communications Services, Not Elsewhere Classified"
1258548,MNB HOLDINGS CORP,592810,OTC Markets,OTCQB,OTC,MNBO,6021,National Commercial Banks
1258602,NELNET INC,590451,NYSE,NYSE,NYSE,NNI,6141,Personal Credit Institutions
1258786,"MGN TECHNOLOGIES, INC.",424409,,,,,7372,Services-Prepackaged Software
1258831,FREDERICK COUNTY BANCORP INC,598174,OTC Markets,OTC Pink Current,OTC,FCBI,6035,"Savings Institution, Federally Chartered"
1259045,BIG HEART PET BRANDS,424442,,,,,2040,Grain Mill Products
1259208,ZONARE MEDICAL SYSTEMS INC,424486,,,,,3841,Surgical and Medical Instruments and Apparatus
1259339,ALLIED BANCSHARES INC,598955,,,,,6021,National Commercial Banks
1259429,TICC CAPITAL CORP.,596634,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,TICC,,
1259515,CONTROL4 CORP,425045,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CTRL,3670,Electronic Components And Accessories
1259550,LOCAL CORP,425067,OTC Markets,OTC Pink Limited,OTC,LOCMQ,7389,"Services-Business Services, Not Elsewhere Classified"
1260037,ENERGTEK INC,591665,OTC Markets,OTC Pink Current,OTC,EGTK,3714,Motor Vehicle Parts and Accessories
1260167,"TRAVELPORT, LP",596718,,,,,7374,Services-Computer Processing and Data Preparation
1260221,TRANSDIGM GROUP INC,590095,NYSE,NYSE,NYSE,TDG,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
1260349,SOUTHERN STAR CENTRAL CORP,608874,,,,,4922,Natural Gas Transmission
1260376,"RHINO HUMAN RESOURCES, INC.",591150,OTC Markets,OTC Pink No Information,OTC,IFHR,8742,Services-Management Consulting Services
1260465,MD TECHNOLOGIES INC,590444,,,,,7371,Services-Computer Programming Services
1260625,"CHINA SECURITY & SURVEILLANCE TECHNOLOGY, INC.",596132,,,,,3669,"Communications Equipment, Not Elsewhere Classified"
1260828,CENTRAL ENERGY PARTNERS LP,595978,OTC Markets,OTC Pink No Information,OTC,ENGY,5172,Wholesale-Petroleum and Petroleum Products (No Bulk Stations)
1260946,INFORMATION RESOURCES LITIG CONTINGENT PYMT RIGHTS TRUST,594041,,,,,8700,"Services-Engineering, Accounting, Research, Management"
1260968,MARLIN BUSINESS SERVICES CORP,593842,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MRLN,6022,State Commercial Banks
1260990,GTX INC /DE/,591491,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,GTXI,2834,Pharmaceutical Preparations
1260996,AMERICAN DEFENSE SYSTEMS INC,591501,OTC Markets,OTC Pink No Information,OTC,ADFS,3790,Miscellaneous Transportation Equipment
1261002,GENOIL INC,591904,OTC Markets,OTC Pink Current,OTC,GNOLF,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
1261019,"UPSNAP, INC.",596073,OTC Markets,Caveat Emptor,OTC,UPSN,1520,General Building Contractors-Residential Buildings
1261068,FASTENTECH INC,592812,,,,,3452,"Bolts, Nuts, Screws, Rivets and Washers"
1261159,CNL LIFESTYLE PROPERTIES INC,592758,OTC,Grey Market,OTC,CLLY,6798,Real Estate Investment Trusts
1261204,OBN HOLDINGS INC,592545,,,,,5190,Wholesale-Miscellaneous Nondurable Goods
1261249,AGILE THERAPEUTICS INC,592569,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,AGRX,2834,Pharmaceutical Preparations
1261252,ESPERANZA RESOURCES CORP,592563,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
1261302,ROCKWOOD SPECIALTIES GROUP INC,600069,,,,,2800,Chemicals and Allied Products
1261436,SUMMIT FINANCIAL SERVICES GROUP INC,595414,,,,,6211,"Security Brokers, Dealers and Flotation Companies"
1261482,DISTRIBUTED ENERGY SYSTEMS CORP,593682,,,,,4911,Electric Services
1261487,SUNERGY INC,623919,OTC Markets,OTC Pink Limited,OTC,SNEY,1000,Metal Mining
1261654,UNIVERSAL TECHNICAL INSTITUTE INC,598804,NYSE,NYSE,NYSE,UTI,8200,Services-Educational Services
1261694,TESSERA TECHNOLOGIES INC,593698,,,,,3674,Semiconductors and Related Devices
1261734,"AEOLUS PHARMACEUTICALS, INC.",596201,OTC Markets,OTCQB,OTC,AOLS,2834,Pharmaceutical Preparations
1261888,CHINACAST EDUCATION CORP,608484,,,,,8200,Services-Educational Services
1262039,FORTINET INC,592969,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,FTNT,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
1262104,"MEI PHARMA, INC.",597237,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,MEIP,2834,Pharmaceutical Preparations
1262159,CHINA NEW ENERGY GROUP CO,594873,OTC Markets,OTC Pink No Information,OTC,CNER,4924,Natural Gas Distribution
1262175,TERCICA INC,595074,,,,,2834,Pharmaceutical Preparations
1262200,DAYSTAR TECHNOLOGIES INC,593356,,,,,3674,Semiconductors and Related Devices
1262276,COAST FINANCIAL HOLDINGS INC,593982,,,,,6022,State Commercial Banks
1262279,FIRST MARBLEHEAD CORP,593863,,,,,6141,Personal Credit Institutions
1262415,HIGHLAND HOSPITALITY CORP,594750,,,,,6798,Real Estate Investment Trusts
1262449,UCDP FINANCE INC,594652,,,,,7900,Services-Amusement and Recreation Services
1262450,UNIVERSAL CITY DEVELOPMENT PARTNERS LTD,594653,,,,,7900,Services-Amusement and Recreation Services
1262456,GLOBAL 1 INVESTMENT HOLDINGS CORP/GA,593869,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
1262751,GRYPHON GOLD CORP,594061,OTC Markets,OTC Pink No Information,OTC,GYPHQ,1040,Gold And Silver Ores
1262768,"DIVERSEY HOLDINGS, INC.",595713,,,,,2840,"Soap, Detergents, Cleaning Preparations, Perfumes, Cosmetics"
1262823,WESTLAKE CHEMICAL CORP,596340,NYSE,NYSE,NYSE,WLK,2860,Industrial Organic Chemicals
1262943,BOARDWALK PIPELINES LP,594885,,,,,4922,Natural Gas Transmission
1262959,HINES REAL ESTATE INVESTMENT TRUST INC,595222,OTC,Grey Market,OTC,HIRT,6798,Real Estate Investment Trusts
1262976,CIMPRESS N.V.,594329,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CMPR,2750,Commercial Printing
1263043,SHINHAN FINANCIAL GROUP CO LTD,595403,NYSE,NYSE,NYSE,SHG,6021,National Commercial Banks
1263050,TEXAS COMPETITIVE ELECTRIC HOLDINGS CO LLC,595907,,,,,4911,Electric Services
1263074,PORTEC RAIL PRODUCTS INC,604072,,,,,3743,Railroad Equipment
1263288,TOM ONLINE INC,621736,,,,,7370,"Services-Computer Programming, Data Processing, Etc."
1263364,JOWAY HEALTH INDUSTRIES GROUP INC,595011,OTC Markets,OTCQB,OTC,GTVI,9995,Non-Operating Establishments
1263756,PROVIDE COMMERCE INC,596455,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
1263762,"SELECT BANCORP, INC.",597127,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,SLCT,6022,State Commercial Banks
1263764,FACEPRINT GLOBAL SOLUTIONS INC,600566,,,,,7371,Services-Computer Programming Services
1263766,SYNERGY FINANCIAL GROUP INC /NJ/,595919,,,,,6035,"Savings Institution, Federally Chartered"
1263810,EVERGREEN HOLDINGS INC,599979,,,,,4522,"Air Transportation, Nonscheduled"
1263813,GLOBAL INDEMNITY PLC,595761,,,,,6331,"Fire, Marine and Casualty Insurance"
1263872,TRANSAKT LTD.,595705,OTC Markets,OTCQB,OTC,TAKD,3661,Telephone and Telegraph Apparatus
1264010,NORCROSS SAFETY PRODUCTS LLC,605810,,,,,3990,Miscellaneous Manufacturing Industries
1264089,YAMANA GOLD INC.,595812,NYSE,NYSE,NYSE,AUY,1040,Gold And Silver Ores
1264136,WOORI BANK,597107,NYSE,NYSE,NYSE,WF,6029,"Commercial Banks, Not Elsewhere Classified"
1264242,QUANTA CAPITAL HOLDINGS LTD,596532,,,,,6331,"Fire, Marine and Casualty Insurance"
1264587,STEMLINE THERAPEUTICS INC,596950,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,STML,2834,Pharmaceutical Preparations
1264647,AMBRX INC,597084,,,,,2834,Pharmaceutical Preparations
1264707,ASSET ACCEPTANCE CAPITAL CORP,601812,,,,,6153,Short-Term Business Credit Institutions
1264755,NEWALLIANCE BANCSHARES INC,597810,,,,,6021,National Commercial Banks
1264756,FLINT RIVER BANCSHARES INC,599286,,,,,6021,National Commercial Banks
1264899,BIOVERIS CORP,597578,,,,,3826,Laboratory Analytical Instruments
1265107,MONITRONICS INTERNATIONAL INC,602142,,,,,7380,Services-Miscellaneous Business Services
1265131,HILLTOP HOLDINGS INC.,600798,NYSE,NYSE,NYSE,HTH,6022,State Commercial Banks
1265449,INTEGRATED PHARMACEUTICALS INC,598165,OTC Markets,Caveat Emptor,OTC,INTP,2835,In Vitro and In Vivo Diagnostic Substances
1265521,HEALTHMED SERVICES LTD,598163,OTC Markets,OTC Pink No Information,OTC,HEME,7374,Services-Computer Processing and Data Preparation
1265572,KONA GRILL INC,598218,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,KONA,5812,Retail-Eating Places
1265700,"SUB-URBAN BRANDS, INC.",601332,OTC Markets,Caveat Emptor,OTC,SUUB,2300,Apparel and Other Finished Products of Fabrics and Similar Mater
1265775,SEARCHLIGHT SOLUTIONS LTD,611614,OTC Markets,Caveat Emptor,OTC,SLLN,8742,Services-Management Consulting Services
1265840,AMERICAS WIND ENERGY CORP,602339,OTC Markets,OTC Pink No Information,OTC,AWNE,3510,Engines And Turbines
1265848,BOLY GROUP HOLDINGS CORP,599629,OTC Markets,OTC Pink Current,OTC,BGHC,8742,Services-Management Consulting Services
1265850,ROCKELLE CORP.,599661,OTC Markets,Caveat Emptor,OTC,RKLC,5812,Retail-Eating Places
1265888,NEUSTAR INC,598815,NYSE,NYSE,NYSE,NSR,4899,"Communications Services, Not Elsewhere Classified"
1266112,GOVERNMENT PROPERTIES TRUST INC,599507,,,,,6798,Real Estate Investment Trusts
1266178,DORANETTI MUSIC INC,626395,,,,,7900,Services-Amusement and Recreation Services
1266467,WEBZEN INC,604272,OTC Markets,OTC Pink Current,OTC,WZENY,7389,"Services-Business Services, Not Elsewhere Classified"
1266604,CCH II LLC,599591,,,,,4841,Cable and Other Pay Television Services
1266605,CCH II CAPITAL CORP,599593,,,,,4841,Cable and Other Pay Television Services
1266677,ONCOGENEX TECHNOLOGIES INC,599674,,,,,2834,Pharmaceutical Preparations
1266700,"BRODER BROS., CO.",602197,,,,,5130,"Wholesale-Apparel, Piece Goods and Notions"
1266719,"HARBIN ELECTRIC, INC",599937,,,,,3621,Motors and Generators
1266806,SECOND SIGHT MEDICAL PRODUCTS INC,599854,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,EYES,3845,Electromedical and Electrotherapeutic Apparatus
1266833,AMADOR GOLD CORP,600094,OTC,Grey Market,OTC,ADRGF,1040,Gold And Silver Ores
1267023,LBI MEDIA HOLDINGS INC,602882,,,,,4832,Radio Broadcasting Stations
1267042,ISOTIS SA,602753,,,,,8731,Services-Commercial Physical and Biological Research
1267097,ZF TRW AUTOMOTIVE HOLDINGS CORP,605720,,,,,3714,Motor Vehicle Parts and Accessories
1267130,CABELAS INC,600278,NYSE,NYSE,NYSE,CAB,5940,Retail-Miscellaneous Shopping Goods Stores
1267147,PERFORMANCE HEALTH TECHNOLOGIES INC,600272,,,,,3845,Electromedical and Electrotherapeutic Apparatus
1267201,"SEABRIGHT HOLDINGS, INC.",600311,,,,,6331,"Fire, Marine and Casualty Insurance"
1267238,ASSURANT INC,601811,NYSE,NYSE,NYSE,AIZ,6321,Accident and Health Insurance
1267391,MODERN CITY ENTERTAINMENT INC.,604988,,,,,7829,Services-Allied To Motion Picture Distribution
1267395,ASPEN INSURANCE HOLDINGS LTD,605038,NYSE,NYSE,NYSE,AHL,6331,"Fire, Marine and Casualty Insurance"
1267425,BOSTON CAPITAL TAX CREDIT FUND V LP,601315,,,,,6513,Operators of Apartment Buildings
1267482,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORP,600796,NYSE,NYSE,NYSE,SMI,3674,Semiconductors and Related Devices
1267565,"COLLEGIUM PHARMACEUTICAL, INC",600781,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,COLL,2834,Pharmaceutical Preparations
1267602,ALIMERA SCIENCES INC,600840,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,ALIM,2834,Pharmaceutical Preparations
1267612,MELT INC,601817,OTC Markets,OTC Pink No Information,OTC,MLTC,5400,Retail-Food Stores
1267813,MARINUS PHARMACEUTICALS INC,601193,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,MRNS,2834,Pharmaceutical Preparations
1267919,SIGNATURE DEVICES INC,601408,OTC Markets,OTC Pink No Information,OTC,SDVI,7372,Services-Prepackaged Software
1267970,DEKALB BANKSHARES INC,604899,,,,,6021,National Commercial Banks
1268039,ORIGEN FINANCIAL INC,601552,OTC Markets,OTC Pink No Information,OTC,ORGN,6798,Real Estate Investment Trusts
1268236,"NEW GENERATION BIOFUELS HOLDINGS, INC",602141,,,,,2860,Industrial Organic Chemicals
1268238,"REBORNNE (USA), INC.",604311,,,,,2020,Dairy Products
1268384,HM PUBLISHING CORP,607293,,,,,2731,"Books: Publishing, or Publishing and Printing"
1268471,SC HOLDINGS CORP,603727,OTC Markets,OTC Pink Current,OTC,SCNG,2860,Industrial Organic Chemicals
1268659,"PROLOR BIOTECH, INC.",603613,,,,,2834,Pharmaceutical Preparations
1268671,TNS INC,603182,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
1268896,CHINA LIFE INSURANCE CO LTD,606590,NYSE,NYSE,NYSE,LFC,6311,Life Insurance
1268904,ETRIALS WORLDWIDE INC.,604598,,,,,7372,Services-Prepackaged Software
1268984,REDDY ICE HOLDINGS INC,605136,OTC,Grey Market,OTC,RDDC,2090,Miscellaneous Food Preparations and Kindred Products
1269021,PORTOLA PHARMACEUTICALS INC,603453,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,PTLA,2834,Pharmaceutical Preparations
1269022,ATOMIC PAINTBALL INC,603470,,,,,7900,Services-Amusement and Recreation Services
1269026,AMEDICA CORP,603456,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,AMDA,3841,Surgical and Medical Instruments and Apparatus
1269036,LORETTA FOOD GROUP INC.,605856,,,,,5141,"Wholesale-Groceries, General Line"
1269127,GREENSHIFT CORP,605034,OTC Markets,OTC Pink Current,OTC,GERS,4950,Sanitary Services
1269132,SUMTOTAL SYSTEMS INC,605860,,,,,7372,Services-Prepackaged Software
1269238,CTRIP COM INTERNATIONAL LTD,605267,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CTRP,7389,"Services-Business Services, Not Elsewhere Classified"
1269515,MICROMED CARDIOVASCULAR INC,615792,,,,,3841,Surgical and Medical Instruments and Apparatus
1269871,"PHYSICIANS FORMULA HOLDINGS, INC.",604853,,,,,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
1269879,"DEWMAR INTERNATIONAL BMC, INC.",605874,OTC Markets,OTC Pink Limited,OTC,DEWM,2080,Beverages
1269977,ATLANTIC COAST ENTERTAINMENT HOLDINGS INC,605497,,,,,7011,Hotels and Motels
1270073,INTERCEPT PHARMACEUTICALS INC,605285,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ICPT,2834,Pharmaceutical Preparations
1270200,VIASPACE INC.,606920,OTC Markets,OTC Pink Current,OTC,VSPC,7330,"Services-Mailing, Reproduction, Commercial Art and Photography"
1270400,VIRGIN MEDIA INC.,607688,,,,,4813,Telephone Communications (No Radiotelephone)
1270418,"BLACKSTRATUS, INC.",605963,,,,,,
1270436,COHEN & CO INC.,609063,NYSE,NYSE MKT,NYSE MKT,COHN,6211,"Security Brokers, Dealers and Flotation Companies"
1270484,LIPMAN ELECTRONIC ENGINEERING LTD,614806,,,,,3578,Calculating and Accounting Machines (No Electronic Computers)
1270532,MNC MEDIA INVESTMENT LTD,622809,,,,,4822,Telegraph and Other Message Communications
1270597,MERISANT CO,606176,,,,,2860,Industrial Organic Chemicals
1270985,K-FED BANCORP,609223,,,,,6035,"Savings Institution, Federally Chartered"
1271024,LINKEDIN CORP,606852,,,,,7370,"Services-Computer Programming, Data Processing, Etc."
1271046,"ENERGY HOLDINGS INTERNATIONAL, INC.",606870,OTC Markets,OTC Pink No Information,OTC,EGYH,2860,Industrial Organic Chemicals
1271057,"CHINA-BIOTICS, INC",607355,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
1271073,"SAFEBRAIN SYSTEMS, INC.",608586,OTC Markets,OTC Pink No Information,OTC,SFBR,9995,Non-Operating Establishments
1271075,"USELL.COM, INC.",608587,OTC Markets,OTCQB,OTC,USEL,7200,Services-Personal Services
1271129,FRONTEER GOLD INC,620344,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
1271131,WESTERN WIND ENERGY CORP,608056,,,,,4911,Electric Services
1271193,SUPERIOR ESSEX INC,610572,,,,,3360,Nonferrous Foundries (castings)
1271199,AZARGA METALS CORPORATION,607654,OTC Markets,OTC Pink Current,OTC,EUUNF,1040,Gold And Silver Ores
1271214,"INTERSECT ENT, INC.",607313,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,XENT,3841,Surgical and Medical Instruments and Apparatus
1271245,FREMONT MICHIGAN INSURACORP INC,618608,,,,,6331,"Fire, Marine and Casualty Insurance"
1271285,"NEW MIDWEST COMPANY, LLC,",608202,,,,,2000,Food and kindred products
1271484,ASSURETEC HOLDINGS INC,609538,,,,,7373,Services-Computer Integrated Systems Design
1271551,INNER SYSTEMS INC,608375,,,,,9995,Non-Operating Establishments
1271554,ENTREE RESOURCES LTD.,607776,NYSE,NYSE MKT,NYSE MKT,EGI,1040,Gold And Silver Ores
1271625,DFC GLOBAL CORP.,607949,,,,,6099,"Functions Related to Depository Banking, Not Elsewhere Classifie"
1271805,CENTERGISTIC SOLUTIONS INC,611290,OTC Markets,OTC Pink No Information,OTC,CGSO,7371,Services-Computer Programming Services
1271810,RIDDLE RECORDS INC,608695,,,,,3652,Phonograph Records and Prerecorded Audio Tapes and Disks
1271831,FIELDSTONE INVESTMENT CORP,608102,,,,,6798,Real Estate Investment Trusts
1271833,CCO HOLDINGS LLC,608131,,,,,4841,Cable and Other Pay Television Services
1271834,CCO HOLDINGS CAPITAL CORP,608133,,,,,4841,Cable and Other Pay Television Services
1271892,TVI PACIFIC INC,608172,OTC Markets,OTC Pink Current,OTC,TVIPF,,
1271940,"CHINA FIRE & SECURITY GROUP, INC.",608507,,,,,3990,Miscellaneous Manufacturing Industries
1271942,ENDEAVOUR MINING CAPITAL CORP,608345,OTC Markets,OTCQX International,OTC,EDVMF,,
1272430,PALADIN REALTY INCOME PROPERTIES INC,628339,,,,,6798,Real Estate Investment Trusts
1272547,FREESCALE SEMICONDUCTOR INC,610630,,,,,3674,Semiconductors and Related Devices
1272550,"ROOT9B HOLDINGS, INC.",609338,OTC Markets,OTCQB,Nasdaq Global Market,RTNB,8742,Services-Management Consulting Services
1272597,"FOUNDATION HEALTHCARE, INC.",609322,,,,,8093,"Services-Specialty Outpatient Facilities, Not Elsewhere Classifi"
1272703,"HYDROGEN ENGINE CENTER, INC.",614352,OTC Markets,OTC Pink No Information,OTC,HYEG,3510,Engines And Turbines
1272754,"T BANCSHARES, INC.",610056,,,,,6021,National Commercial Banks
1272771,OSAGE FEDERAL FINANCIAL INC,610497,,,,,6035,"Savings Institution, Federally Chartered"
1272830,VONAGE HOLDINGS CORP,609883,NYSE,NYSE,NYSE,VG,4813,Telephone Communications (No Radiotelephone)
1272842,AIRGAIN INC,609696,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,AIRG,3663,Radio and Television Broadcasting and Communications Equipment
1272906,"UCP HOLDINGS, INC.",612705,OTC Markets,OTC Pink No Information,OTC,UCPH,7373,Services-Computer Integrated Systems Design
1272957,BRISTOL WEST HOLDINGS INC,610692,,,,,6331,"Fire, Marine and Casualty Insurance"
1273013,PHARMACOPEIA INC,611469,,,,,8731,Services-Commercial Physical and Biological Research
1273197,AT&S HOLDINGS INC,613641,,,,,7510,Services-Auto Rental and Leasing (No Drivers)
1273385,NUTRASTAR INTERNATIONAL INC.,613041,OTC Markets,OTC Pink Limited,OTC,NUIN,2000,Food and kindred products
1273397,PROCENTURY CORP,610917,,,,,6331,"Fire, Marine and Casualty Insurance"
1273441,GRAN TIERRA ENERGY INC.,612738,NYSE,NYSE MKT,NYSE MKT,GTE,1311,Crude Petroleum and Natural Gas
1273507,WIND WORKS POWER CORP.,617215,OTC Markets,OTC Pink Current,OTC,WWPW,1040,Gold And Silver Ores
1273636,APPLIED GENETIC TECHNOLOGIES CORP,611847,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,AGTC,2836,"Biological Products, (No Diagnostic Substances)"
1273685,NEW YORK MORTGAGE TRUST INC,612878,NASDAQ,NASDAQ Global Select Market,Nasdaq Capital Market,NYMT,6798,Real Estate Investment Trusts
1273784,NATIONAL BEEF PACKING CO LLC,611418,,,,,2011,Meat Packing Plants
1273801,NORTHSTAR REALTY FINANCE CORP.,632055,,,,,6798,Real Estate Investment Trusts
1273805,CITIZENS COMMUNITY BANCORP,612319,,,,,6021,National Commercial Banks
1273813,ASSURED GUARANTY LTD,611919,NYSE,NYSE,NYSE,AGO,6351,Surety Insurance
1273886,GNC CORP,611056,,,,,5400,Retail-Food Stores
